name,address,cross_street_reference,ward,contact_name,phone,phone_extension,email,website
Alvin Curling YMCA,50 Upper Rouge Trail,Sheppard/Morningside,Scarborough-Rouge Park,Frances Garcia,416-287-8534,,,
Ancaster Early Learning & Child Care Centre,45 Ancaster Rd,Wilson/Dufferin,York Centre,Melissa Brown,416-392-5064,,,toronto.ca/children/telccs
"Ancaster Public School, Extended Day Program",44 Ancaster Rd,Wilson/Dufferin,York Centre,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Angelgate Daycare Inc.,432 Runnymede Rd,Runnymede/Annette,Parkdale-High Park,Jennifer Tolentino,647-835-4546,,,angelgatedaycare.com
Angelgate Daycare Ltd. 230 Jane Street,230 Jane St,Jane St/Annette St,Parkdale-High Park,Katrina Tuzon,416-792-6243,,,angelgatedaycare.com
Angelgate Daycare Ltd. 232 Jane Street,232 Jane St,,Parkdale-High Park,Katrina Tuzon,416-792-6243,,,angelgatedaycare.com
Angus Valley Montessori,"4841 Yonge St, 100",,Willowdale,Samiksha  Nikki Gupta,416-723-1155,,,avmschools.com
Annex Montessori School,427 Bloor St W,,University-Rosedale,Amanda Hitch,416-994-0549,,,
Annunciation Catholic School Before & After Child Care Program,65 Avonwick Gate,Cassandra Blvd/Victoria Park,Don Valley East,Raveena Ravinthiran,647-289-8728,,,
Antica Village Children's Day Care Centre (646508 Ontario Ltd),360 Hullmar Dr,Steeles W./Jane,Humber River-Black Creek,Mandira Gupta,416-661-8666,,,
A Place To Play Nursery School Of Bloor West Village,680 Annette St,Annette/Jane,Parkdale-High Park,Kelly Adlam,416-767-6650,,,
Apple Day Care Centre,"3434 Eglinton Ave E, 102",Markham Rd/Eglinton Ave E,Scarborough-Guildwood,Jessica Charitable Dorizan,416-264-3158,,,
Apple Jacks Preschool,19 Benlamond Ave,,Beaches-East York,Cassie St Amand,416-690-9555,,,
Aquabella Child Care,75 Edgewater Dr,,Spadina-Fort York,Jessica Wong,416-645-6000,1158,,woodgreen.org
Arbor Glen Community Child Care Centre,55 Freshmeadow Dr,Steeles E./Don Mills,Don Valley North,Catherine Henderson,416-497-4040,,,
Armour Heights Child Care Program,"148 Wilson Ave, 108",Wilson/Avenue Rd.,Eglinton-Lawrence,Florence Kirchner,416-486-6881,,,
Ars Nursery School - Armenian Community Centre,45 Hallcrown Pl,,Don Valley North,Ani Tourosian,416-491-2210,1009,,arsarmenian.ca
Ascot Avenue Community Daycare,991 St Clair Ave W,St Clair Ave W/Oakwood Ave,Davenport,Teresa Gabriele-Peak,416-651-2275,,,
Ascot Avenue Community Day Care,95 Regal Rd,Davenport/Dufferin,Davenport,Meghan Kearns,416-653-7760,,,
Aspiring Academics Preschool Inc.,262 Woodfield Rd,,Toronto-Danforth,Jasmine Dale,416-889-9389,,,aspiringacademicspreschool.com
Aspiring Academics Preschool - Kingston,2372 Kingston Rd,,Scarborough Southwest,Jasmine Dale,416-889-9389,,,aspiringacademicspreschool.com
Aspiring Academics Preschool - Somerset,56 Somerset Ave,Davenport Rd/Somerset Ave,Davenport,Jasmine Dale,416-889-9389,,,aspiringacademicspreschool.com
Atelier Childcare Inc.,15 Oakmount Rd,,Parkdale-High Park,Jenna Niven,416-604-2442,,,atelierkids.com
Atelier Kids Inc.,21 Quebec Ave,,Parkdale-High Park,Jenna Niven,416-419-3864,,,atelierkids.com
Athletic Montessori Academy,890 Danforth Ave,Danforth Ave/Pape Ave,Toronto-Danforth,Charmaine Wright,647-679-0442,,, littledribblers.ca/montessori
Avalon Children's Montessori School,31 Wood Glen Rd,Kingston Rd./Warden,Scarborough Southwest,Christine Keery,416-690-7744,,,
Avenue Road Nursery School,1498 Avenue Rd,Avenue Rd./Lawrence,Eglinton-Lawrence,April Parrett,416-783-2773,,,graydonhallnurseryschools.com
Avondale Centre For Early Development,171 Avondale Ave,,Willowdale,Sheyda Manavi,416-941-2121,,,
"Avondale Public School, Extended Day Program",171 Avondale Ave,Willowdale Ave/Sheppard Ave,Willowdale,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
B.F. Toronto Centre For Early Childhood Education,45 Golfdown Dr,Islington/Hwy. 401,Etobicoke North,Kathleen Archer,416-746-6542,200,,
Bais Yaakov Elementary School,15 Saranac Blvd,,Eglinton-Lawrence,Chava  Miriam Neustadt,416-783-6181,182,,
Balmy Beach Community Day Care Centre,"14 Pine Ave, Room 107",Kingston Rd./Victoria Park,Beaches-East York,Christine Roberts,416-698-5668,,,
Bannockburn School,3080 Bayview Ave,,Willowdale,Isabella Foster,416-789-7855,307,,
Banting And Best Child Care Centre (380 Goldhawk),380 Goldhawk Trail,McCowan/McNicoll,Scarborough North,Ellen Mok,416-291-6163,,,
Banting And Best Schoolage Satellite(255 Alton Towers),255 Alton Towers Cir,McCowan/McNicoll,Scarborough North,Ellen Mok,416-291-6163,,,
Baycrest Child Care Centre,50 Ameer Ave,,Eglinton-Lawrence,Jasmine Livingstone,416-784-1316,,,icsg.ca
Bayview Gardens Day Care Centre,3125 Bayview Ave,Bayview/Finch,Don Valley North,Shuk Man Lo,416-222-9405,,,
Bayview Glen,275 Duncan Mill Rd,Don Mills Rd/York Mills Rd,Don Valley East,Gillian Potts-Hemingway,416-443-1030,287,,bayviewglen.ca
Beaches Montessori School Incorporated,950 Kingston Rd,,Beaches-East York,Leigh Anne Jacques,416-901-2992,,,beachesmontessori.com
Beaches Montessori School South,995 Kingston Rd,,Beaches-East York,Julie Mitchell,416-986-7553,,,
Beach Hill Montessori,2032 Gerrard St E,,Beaches-East York,Pilar Fuertes Martinez,647-228-0809,,,beachhillmontessori.com
Beamish Academy,3819 Bloor St W,Bloor St W/Kipling Ave,Etobicoke-Lakeshore,Deborah Andrade,416-233-5437,,,beamishkids.com
Beatty Buddies Daycare,55 Woodington Ave,Danforth/Coxwell,Beaches-East York,Lisa Winters,416-570-8687,,,
Beechgrove Sunshine Child Care,"4679 Kingston Rd, Unite 8 & 9",,Scarborough-Rouge Park,Danielle Rampulla,416-284-6523,,,
Bendale Licensed Before And After School Program,61 Benshire Dr,,Scarborough-Guildwood,Sanaa Maher,416-281-0262,230,,
Bennington Heights Child Care Centre,76 Bennington Heights Dr,Bayview/Moore,Don Valley West,Sarah Ptak,416-423-6522,,,benningtonheightscc.com
Berner Trail Early Learning & Child Care Centre,120 Berner Trail,Neilson/Sheppard,Scarborough North,Jennifer Connolly,416-392-6273,,,toronto.ca/children/telccs
"Berner Trail Junior Public School, Extended Day Program",120 Berner Trail,Neilson/Sheppard,Scarborough North,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Bessborough Child Care Centre,211 Bessborough Dr,Bayview/Eglinton,Don Valley West,Jodi Kageyama,416-467-0389,,,
Beth Sholom First Foundations Community Preschool,1445 Eglinton Ave W,,Toronto-St. Paul's,Adriana Signoroni,416-432-2561,,,firstfoundationsjcp.org
Beverly Glen YMCA,85 Beverly Glen Blvd,,Scarborough-Agincourt,Maryam Sabri,647-438-6689,,,
Big Bears Daycare,"51 Durnford Rd, 2nd Floor",Sheppard/Kingston Rd.,Scarborough-Rouge Park,Ellsy Badibanga,416-778-8860,,,
Big Dreams Early Learning Centre,1703 Victoria Park Ave,Victoria Park Ave/Lawrence.,Scarborough Centre,Melissa Ireland,416-757-8040,,,
Birch Cliff Heights Licensed Before And After School Program,120 Highview Ave,,Scarborough Southwest,Sanaa Maher,416-281-0262,230,,
"Birch Cliff Public School, Extended Day Program",1650 Kingston Rd,Birchmount/Danforth,Scarborough Southwest,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Birchmount Bluffs Neighbourhood Centre Community Nursery School,93 Birchmount Rd,Birchmount/Danforth Ave.,Scarborough Southwest,Erika Smith,416-396-4315,,,bbnc.ca
Birchmount Place Centre For Early Learning,2360 Birchmount Rd,Birchmount/Sheppard E.,Scarborough-Agincourt,Kiana Cummings,416-291-0304,221,,
Birds And Bees Day Care Centre,720 Kennedy Rd,Kennedy/Eglinton,Scarborough Southwest,Brenda Tripp,416-261-5741,,,
Blacksmith Child Care Centre,45 Blacksmith Cres,Jane/Steeles,Humber River-Black Creek,Harjit Bansal,416-665-3839,,,
Blake Street Early Learning & Child Care Centre,84 Blake St,Jones/Danforth,Toronto-Danforth,Aryana Nawabi,416-392-5055,,,toronto.ca/children/telccs
"Blake Street Junior Public School, Extended Day Program",21 Boultbee Ave,Jones/Gerrard,Toronto-Danforth,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Blaydon Community Day Care Centre,25 Blaydon Ave,Keele/Wilson,York Centre,Anna Care,416-638-1461,,,blaydondaycare.com
Blessed Pier Giorgio Frassati Extended Day Program,8 Seasons Dr,Markham Rd/Steeles Ave E,Scarborough North,Nalini Jeewaraja,416-396-5757,,,
Blessed Trinity Before & After School,3205 Bayview Ave,Bayview/Finch,Don Valley North,Margaret Udo,416-226-3336,,,
Bloomsbury Academy,29 Dalhousie St,,Toronto Centre,Tara Silver,416-303-8263,,,
Bloorcourt Village Early Learning Centre,823 Dovercourt Rd,Bloor W./Dovercourt,Davenport,Sabina Jaunbocus,416-536-0574,,,bloorcourtvillageearlylearningcentre.ca
Bloor West Nursery School,432 Runnymede Rd,Runnymede/Annette St.,Parkdale-High Park,Laura Grimaldi,416-767-6729,103,,bloorwestnurseryschool.com
Blossoming Minds Learning Centre Inc.,1530 Danforth Ave,,Toronto-Danforth,Krista Dahlgren,416-546-9830,,,blossoming.ca
Blue Bell Academy,2189 Gerrard St E,Main St/Gerrard St,Beaches-East York,Evelyn Bell,416-550-4442,,,bluebellacademy.com
Blue Bell Academy Inc.,"2191 Gerrard St E, 1a",Gerrard St E/Main St,Beaches-East York,Evelyn Bell,416-550-4442,,,bluebellacademy.com
Blue Bell Academy Inc.,1415 Gerrard St E,,Toronto-Danforth,Evelyn Bell,416-550-4442,,,bluebellacademy.com
Bluebird Montessori School (Mini),"905 Broadview Ave, A",,Toronto-Danforth,Ingrid Siguenza,416-406-4066,,,bluebirdmontessori.ca
Bluebird Montessori School South,515 Broadview Ave,,Toronto-Danforth,Unnita Chatterjee,416-606-3398,,,bluebirdmontessori.ca
Blue Butterfly Montessori School Inc.,"300 Richmond St W, 100",Richmond W./John St.,Spadina-Fort York,Maryam Doaei,416-479-0202,,,bluebutterflyms.ca
Blue Wave Child Care Centre,50 Duncairn Rd,Lawrence/Don Mills,Don Valley East,Sarita Singh,416-445-0602,,,
Bluffer's Park Montessori School,2857 Kingston Rd,Kingston Rd/St. Clair Ave. E,Scarborough Southwest,Mary Kapetanos,647-340-9099,,,
Boardwalk Montessori School Inc.,"1975 Queen St E, A",Queen/Woodbine,Beaches-East York,Joan Walder,416-691-6740,,,
Bonaventure Child Care Centre,295 Dufferin St,Dufferin/King St. W.,Spadina-Fort York,Tiffany Christophe,416-588-4318,,,icsg.ca
Boulton Avenue Child Care Centre,131 Broadview Ave,Broadview/Queen,Toronto-Danforth,Paula Smith,416-463-7625,,,
Bowmore,80 Bowmore Rd,Gerrard/Coxwell,Beaches-East York,Ada Antidormi,416-465-6678,,,
"Bowmore Road Junior And Senior Public School, Extended Day Program",80 Bowmore Rd,Gerrard/Coxwell,Beaches-East York,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Braeburn Woods Day Care Centre,15 Tandridge Cres,Albion/Weston Rd,Etobicoke North,Karen Leroux,416-745-9472,,,
Brahms Early Learning & Child Care Centre,5 Brahms Ave,Don Mills/Finch,Don Valley North,Maryam Azizi,416-392-6262,,,toronto.ca/children/telccs
Branson Pre-School Ltd.,4866 Bathurst St,Bathurst/Finch,York Centre,Rajani Mathieswaran,416-635-6580,,,
Brian's Petit Amis,95 Brian Dr,Brian/Sheppard,Don Valley North,Vicki Rout,416-491-1231,,,bpacc.ca
Brian Drive School Age Program (YMCA),95 Brian Dr,Victoria Park/Sheppard,Don Valley North,Ann-Marie Sawyer,416-493-3008,,,
Briarcrest Child Care,60 Wellesworth Dr,Rathburn/Renforth,Etobicoke Centre,Rupinder Sidhu,416-620-9914,,,
Bridlegrove Daycare Centre,2575 Pharmacy Ave,Pharmacy/Finch,Scarborough-Agincourt,Illuminata Paiva,416-497-7667,,,
Bridlewood Jr YMCA,60 Bridlewood Blvd,Huntingwood/Warden,Scarborough-Agincourt,Eleni Costa,416-492-3364,,,
Bright Minds Childcare & Montessori School,"1450 O Connor Dr, Building #2, Unit 110",O'Connor Dr./Bermondsey,Beaches-East York,Nadira Shameem,416-755-0002,,,
Brightpath Academy - Davisville Village,1432 Bayview Ave,Bayview Ave/Davisville Ave,Don Valley West,Brianne Leitch,647-349-2229,,,brightpathkids.com
Brightpath Academy - Forest Hill,5 Glen Park Ave,,Eglinton-Lawrence,Kaitlyn Herman,647-547-2120,,,brightpathkids.com
Brightpath Academy - Leaside,235 McRae Dr,Laird/Eglinton,Don Valley West,Laile Esguerra,647-340-3688,,,brightpathkids.com
Brightpath Academy - The Beach,"1925 Queen St E, 1923",,Beaches-East York,Dorie Heffron,416-640-9625,,,brightpathkids.com
Brightpath Academy - The Beach Clubzone,"1921 Queen St E, 1919",,Beaches-East York,Dorie Heffron,416-640-9625,,,brightpathkids.com
Brightpath Academy - Wanless Park (18),18 Melrose Ave,Yonge/Lawrence E.,Eglinton-Lawrence,Jennifer Halliwell,416-485-5437,,,brightpathkids.com
Brightpath Academy - Wanless Park (20),20 Melrose Ave,Yonge/Lawrence E.,Eglinton-Lawrence,Jennifer Halliwell,416-485-5437,,,brightpathkids.com
Brightpath Eglinton,"5535 Eglinton Ave W, 200",Eglinton Ave/Centennial Park,Etobicoke Centre,Shannon Rebelo,416-742-3535,,,brightpathkids.com
Brightpath Leslieville,"970 Queen St E, 2nd Floor",Carlaw Ave/Queen St E,Toronto-Danforth,Sarah Martin,416-477-0857,,,brightpathkids.com
Brimley Bloom Montessori,614 Brimley Rd,,Scarborough Centre,Monina Navarrete,647-766-5769,,,kiddiekidz.ca
Brimwood School Age YMCA,151 Brimwood Blvd,Brimley/Finch,Scarborough North,Amy Chang,416-293-7326,,,
"Broadacres Junior School, Extended Day Program",45 Crendon Dr,Renforth/Burnhamthorpe,Etobicoke Centre,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Broadlands School Age Program YMCA,106 Broadlands Blvd,Victoria Park/Lawrence,Don Valley East,Eleni Costa,416-492-3364,,,
Broad View French Montessori School,903 Pape Ave,,Toronto-Danforth,Michelle Altmid,416-467-1618,,,broadviewmontessori.com
Broad View French Montessori School II Limited,1236 Kingston Rd,Kingston Rd./Fallingbrook,Scarborough Southwest,Latife Emin,416-690-9305,,,broadviewfrenchmontessori.ca
Brock Early Learning Centre,93 Margueretta St,College/Dufferin,Davenport,Claudia Gardiman,416-535-3491,,,
Brookhaven Child Care,70 Brookhaven Dr,Black Creek/Lawrence W.,York South-Weston,Marisa Manduca,416-249-6587,,,
Brookhaven Child Care -  St. Bernard Site,12 Duckworth St,Jane/Lawrence,York South-Weston,Marisa Manduca,416-249-6587,,,
"Brookmill Boulevard Junior Public School, Extended Day Program",25 Brookmill Blvd,Warden Ave/Finch Ave E,Scarborough-Agincourt,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Brookside Child Care Centre,75 Oasis Blvd,Tapscott Rd./Passmore Ave.,Scarborough North,Nalini Jeewaraja,416-396-5757,,,familydaycare.com
Bruce Woodgreen Early Learning Centre,51 Larchmount Ave,Pape/Queen,Toronto-Danforth,Jessica Wong,416-645-6000,1158,,woodgreen.org
Buchanan Extended Day & School Age Program,4 Bucannan Rd,Warden Ave/Lawrence Ave E,Scarborough Centre,Mary Gatti,647-669-6201,,,
Buds And Blossoms,"517 Parliament St, 2",,Toronto Centre,Sarah Feng,416-655-0695,,,
Bumble Bee Academy,"668 Kingston Rd, Unit 1",,Beaches-East York,Shawna Titus,416-690-2221,,,
Bumble Bee Academy,"1560 Queen St E, 101, 102, 201",,Toronto-Danforth,Krista Campbell-Merriam,416-462-0106,,,
Bumble Bee Garden Child Care Ltd.,1275 Dundas St W,,Davenport,Zafira Karmali,416-532-0275,,,bumblebeegarden.ca
C.A.S.P. Catholic After School Program,53 Gracefield Ave,Lawrence Ave. W./Keele,York South-Weston,Jennifer Tulloch-Lewin,416-707-0558,,,
C.D.Farquharson Jr YMCA,1965 Brimley Rd,Brimley/Pitfield,Scarborough North,Jameelah Cayenne,647-438-7124,,,
Calico Saints Child Care Centre,35 Calico Dr,Sheppard W./Jane,York Centre,Robert Gordon,416-741-8499,,,
Cambridge Leaf Montessori School,"3875 McNicoll Ave, 100-103",Markham Rd/McNicoll Ave,Scarborough North,Nighat Shaheen,416-771-6695,,,cambridgeleaf.ca
Cambridge Place Centre For Early Learning,30 Denton Ave,Victoria Park/Danforth Ave.,Scarborough Southwest,Niroshanki Nallathamby,416-699-9636,221,,cfel.ca
Campus Community Co-Operative Day Care,370 Huron St,Bloor/St. George,University-Rosedale,Cathy Stevenson,416-946-0875,,,
Canadiana Court Early Learning & Child Care Centre,20 Gordonridge Pl,Midland/Danforth,Scarborough Southwest,Isaiah Noel,416-392-5698,,,toronto.ca/children/telccs
Candy Factory Swallows Day Care (The),1411 Bloor St W,Bloor W./Symington,Davenport,Blair Spence,416-537-4154,,,candyfactorydaycare.com
Cardinal Leger Child Care Centre (Scarborough),600 Morrish Rd,Ellesmere/Morningside,Scarborough-Rouge Park,Tanya Zundel,416-287-0578,,,cardinallegerchildcare.com
Carefree Preschool,370 Dixon Rd,Dixon/Kipling,Etobicoke North,Emily Persaud,416-244-5529,,,
Carleton Village Early Learning Centre,315 Osler St,Davenport/Symington,Davenport,Sara Martins,416-658-8886,,,
Carmelite Missionary Sisters Of Saint Theresa Of The Child Jesus,1196 Wilson Ave,Keele/Wilson,York Centre,Sr. Suzana Tairo,416-636-6123,,,
Carousel Child Care Development Centre,"623 Finch Ave W, 101",Finch W./Wilmington,York Centre,Bella Abramovich,416-636-0614,,,carouselchildcare.ca
Casa Del Zotto Children's Centre,3010 Dufferin St,Dufferin/Lawrence,Eglinton-Lawrence,Bosompemaa Apea-Dankwa,416-819-2186,,,
Casa Vera Montessori School,2000 Keele St,Keele St./Gulliver Rd.,York South-Weston,Viera Scurova,416-850-9705,,,casaverams.com
Cast For Kids Child Care Centre,1430 Sheppard Ave W,Sheppard W./Keele,York Centre,Anna Maria Storto,416-638-4487,,,castforkids.com
Castlebar YMCA,70 Chartwell Rd,Islington Ave/Ambleside Ave,Etobicoke-Lakeshore,Monica Buslon,416-917-8900,,,
Castle Park Playschool,"1971 Queen St E, Unit 102, 103",Queen E/Woodbine,Beaches-East York,Ella Dembeck,647-501-6751,,,castleparkplayschool.ca
Caterpillar & Co,55 Chauncey Ave,Kipling/Norseman,Etobicoke-Lakeshore,Sally Petrie,416-239-2888,,,caterpillarco.com
Cedarbrae Day Nurseries (20 Greencrest),20 Greencrest Circt,Markham/Lawrence,Scarborough-Guildwood,Tracy Rushton,416-431-2504,,,
Cedarbrae Day Nursery,1385 Midland Ave,Midland/Lawrence E.,Scarborough Centre,Joanne Bavaro,416-751-0664,,,
Cedarbrae Day Nursery (1375 Midland),1375 Midland Ave,Midland/Lawrence E.,Scarborough Centre,Emily Emanuel,416-751-2358,,,
"Cedarvale Community School, Extended Day Program",145 Ava Rd,Glen Cedar Road/Ava Road,Toronto-St. Paul's,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/extended-day-program
Centenary Seven Oaks  Early Learning & Child Care Centre,9 Neilson Rd,Ellesmere/Neilson Rd.,Scarborough-Guildwood,Susan Hill,416-392-4750,,,toronto.ca/children/telccs
Centennial College Early Childhood Education Centre(550 Mortimer),550 Mortimer Ave,Mortimer/Coxwell,Toronto-Danforth,Rick Nankissoor,416-289-5065,,,
Centennial College East York Day Care (Plains Rd),175 Plains Rd,Coxwell/O'Connor,Toronto-Danforth,Rick Nankissoor,416-289-5065,,,
Centennial College Progress Campus Child Care Centre,941 Progress Ave,Markham/Hwy. 401,Scarborough-Guildwood,Janet Burchert,416-289-5065,,,
Centennial Infant And Child Centre,1580 Yonge St,Yonge/St. Clair,Toronto-St. Paul's,Racquel Manzano,416-935-0200,261,,
Central Eglinton Childrens' Centre,223 Eglinton Ave E,Eglinton/Mt. Pleasant,Toronto-St. Paul's,Kristen Dubois,416-440-0383,,,
Central Montessori School,180 Sheppard Ave E,Yonge St/Sheppard Ave E,Willowdale,Nabila Affonso Sieglett,416-221-3289,,,cmschool.net
Central Montessori Schools - Maplehurst Campus,181 Maplehurst Ave,Sheppard Ave E/Willowdale Ave,Willowdale,Pravita Lakhani,416-222-9207,,,cmschool.net
Central Montessori Schools - Willowdale Campus,157 Willowdale Ave,Willowdale Ave./Sheppard E.,Willowdale,Danyu Echo Lou,416-250-1022,,,
Central Montessori Schools - York Mills Campus,18 Coldwater Rd,Leslie/York Mills,Don Valley East,Ahmed Ayesha,416-510-1200,,,cmschool.net
Centre De La Petite Enfance - Les Amis Du Monde,55 Pelham Ave,Dundas/Dupont,Davenport,Regine Epolo-Mayela,416-410-2232,,,
Centro Clinton Day Care Centre,460 Manning Ave,College/Bathurst,University-Rosedale,Maria Azevedo,416-537-5841,,,
Chabad Lubavitch Of York Mills,2437 Bayview Ave,Bayview Ave/York Mills Rd,Don Valley West,Rivky Gansburg,416-551-9391,,,
Chabad Of Midtown,"1034 St Clair Ave W, 1036",,Davenport,Dvora Deitsch,416-516-2005,,,chabadmt.com
Chabad Of Midtown - Bathurst,1344 Bathurst St,Bathurst/Davenport Rd,Toronto-St. Paul's,Dvora Deitsch,416-516-2005,,,chabadmt.com
Chabad Of Midtown - St Clair,"546 St Clair Ave W, 544",,Toronto-St. Paul's,Dvora Deitsch,416-516-2005,,,
Champions Children's Centre,9 Grenoble Dr,Don Mills/Eglinton,Don Valley East,Annabel Emore,416-467-5983,,,
Charlottetown Blvd. Childcare Centre,"111 Island Rd, Unit #5",Port Union Rd./Hwy. 401,Scarborough-Rouge Park,Cheryl Hafenbrack,416-724-0147,,,
Charlottetown Kindergarten Extended Care Program,85 Charlottetown Blvd,Charlottetown Blvd/Centennial,Scarborough-Rouge Park,Sanaa Maher,416-281-0262,230,,
Chartland Child Care Inc,109 Chartland Blvd S,Brimley/Huntingwood,Scarborough North,Susan Tom,416-292-7278,,,
Cheer Day Care Centre,3300 Kennedy Rd,Kennedy/McNicoll,Scarborough-Agincourt,Petty Yang,416-292-4720,,,
Chester Jr YMCA,115 Gowan Ave,Broadview/Gowan,Toronto-Danforth,Sherry Feeney,416-421-8101,,,ymcatoronto.org
Chester Le Early Learning & Child Care Centre,201 Chester Le Blvd,Victoria Park/Finch Ave E,Scarborough-Agincourt,Helen Kwak,416-338-0715,,,toronto.ca/children/telccs
Children's Circle Of St. Barnabas,361 Danforth Ave,,Toronto-Danforth,Michelle Strople,416-461-5151,6,,childrenscircledaycare.com
Children's Creative Corner Co-Op Nursery School,"125 Evelyn Cres, Rm. 234",Runnymede/Bloor,Parkdale-High Park,Aislinn Schwartz,416-769-4938,,,
